au|qual
BOGGS, J|12.75
BOGOMOLNAIA, A|12.71429
BOHARA, A|4.783333
BOHN, H|28.46667
BOHNET, I|14.40909
BOISSO, D|4.916667
BOISVERT, R|7.166667
BOIVIN, J|21.72222
BOLDRIN, M|22.59722
BOLLEN, N|13.19444
BOLLERSLEV, T|143.0433
BOLLINGER, C|13.44444
BOLTON, G|56.87111
BOLTON, P|23.98879
BOMBERGER, W|12.8
BON, R|15
BONANNO, G|11.8
BOND, E|12.31944
BOND, P|6
BONHAM, C|7.166667
BONI, L|8.75
BONIN, J|17.76667
BONNEN, J|17
BOONE, C|15
BOORMAN, S|46
BOOT, A|19.00595
BOOTH, G|12.1
BOOTH, J|29.83333
BOOZER, M|8.916667
BORENSTEIN, S|43.42949
BORJAS, G|60.93666
BORN, P|6.180555
BORNSTEIN, M|9.25
BORSCHSUPAN, A|28.1
BOSCH-DOMENECH, A|7
BOSCHEN, J|11.58333
BOSCOLO, M|10.5
BOSE, N|5.444445
BOSE, S|2.833333
BOSKIN, M|25.10069
BOSSERT, W|13.66667
BOSTIC, R|7.645833
BOTTAZZI, J|5.555556
BOTTICINI, M|17.19048
BOUCHER, S|6.895833
BOUDOUKH, J|11.59722
BOUGHTON, J|15.27778
BOULDING, K|22.66667
BOULIER, B|10.13333
BOUND, J|43.30192
BOWEN, J|11.11111
BOWLAND, B|4
BOWLES, S|28.95518
BOWMAN, J|9.678572
BOWMAN, K|9.5
BOWN, C|13.01515
BOYCE, D|9.904762
BOYCKO, M|27.59723
BOYD, D|9.25
BOYD, G|13.9
BOYD, J|15.67544
BOYER, G|8.354167
BOYER, K|24.5
BOYES, W|11.16667
BOYLAN, R|15.9
BOYLE, R|8.166666
BOZEMAN, B|8.944444
BRADA, J|12.90104
BRADBURD, R|12.3
BRADEN, J|7.011904
BRADFORD, D|30.46111
BRADFORD, S|12.25
BRADFORD, W|5.5625
BRADLEY, C|8.303334
BRADLEY, D|9.670834
BRADLEY, M|15.56597
BRADLOW, E|3.416667
BRADY, D|6.25
BRAEUTIGAM, R|14.93056
BRAGA, A|3.75
BRAGUINSKY, S|4.75
BRAID, R|13.50667
BRAINARD, W|60.44792
BRAINERD, E|20.71667
BRAMOULLE, Y|6.944443
BRAMS, S|8.75614
BRANCH, W|13.88889
BRANDENBURGER, A|29.01389
BRANDER, J|74.38461
BRANDT, L|9.055554
BRANDT, M|6.888542
BRANSON, W|14.54762
BRANSTETTER, L|23.33333
BRASINGTON, D|18.16667
BRATTON, M|27.9375
BRAU, J|3.944444
BRAUER, G|15
BRAUTIGAM, D|27.75
BRAV, A|24.93056
BRAVO-URETA, B|6.041665
BRAVOURETA, B|17.5
BRAZEE, R|5.375
BRECHER, R|29.07778
BREEDEN, D|237
BREIT, W|5.5
BREMS, H|7.5
BRENNAN, M|30.92308
BRENNER, M|9.25
BRENNER, N|21
BRENNER, R|17.47222
BRESLAUER, G|6.771429
BRESNAHAN, B|6.75
BRESNAHAN, T|47.20115
BREUER, J|9.416665
BREWER, M|93.83334
BREWER, P|21.25
BREZIS, E|15.66667
BREZZI, M|9.25
BRICKLEY, J|34.69
BRIEN, M|15.33333
BRIGGS, V|8.5
BRINIG, M|11.375
BRINNER, R|7
BRITO, D|6.527451
BRIYS, E|18
BROAD, R|42
BROADIE, M|27.19166
BROCAS, I|7
BROCK, P|16.33333
BROCK, W|32.39167
BROCKETT, P|4.915151
BRODA, C|17.54762
BRODER, I|23
BROMLEY, D|23.27901
BRONARS, S|17.66667
BROOKS, K|5.42
BROOKS, R|9.5
BROOKS-GUNN, J|8.229166
BROWN, B|16.16667
BROWN, C|39.88258
BROWN, D|12.39778
BROWN, G|18.92982
BROWN, H|25.66667
BROWN, J|12.84481
BROWN, L|15.938
BROWN, S|59.85648
BROWN, W|8.652778
BROWNE, M|9.958332
BROWNING, E|33.55833
BROWNKRUSE, J|16.55556
BROWNSTONE, D|20.30952
BROZ, J|5.166667
BROZEN, Y|22
BROZOVIC, N|3.166667
BRUCE, N|21.5
BRUDNY, Y|11
BRUECKNER, J|21.76132
BRUNER, R|26.53333
BRUNNER, K|16.69048
BRUNNERMEIER, M|40.05555
BRUSH, S|15.91667
BRUSH, T|23.25
BRUTON, H|14.75
BRYAN, W|6
BRYANT, J|27.71428
BRYANT, K|7.452382
BRYNJOLFSSON, E|71.80554
BUCHAN, N|23.08333
BUCHANAN, J|19.14444
BUCHINSKY, M|51.9
BUCHMUELLER, T|13.665
BUCKLES, S|4.25
BUCKLIN, R|3.5
BUCOVETSKY, S|43
BUDD, J|9.633334
BUENSTORF, G|9
BUESCHING, D|4.5
BUETTNER, T|4.833333
BUFFIE, E|14.96875
BUHR, B|5.9375
BUI, L|13.35
BUITER, W|20.57738
BULL, C|37.19445
BULL, J|7.25
BULLARD, C|10.83333
BULLOCK, D|13.875
BULOW, J|61.81884
BUNCE, V|18.25
BUNCH, D|25.16667
BUNDORF, M|8
BUNZEL, H|6.866666
BURAWOY, M|35
BURCH, T|9.111111
BURDEKIN, R|6.520513
BURDETT, K|30.21014
BURGESS, J|9.666667
BURGESS, P|5.166667
BURGESS, S|5.760417
BURGSTAHLER, D|91.83334
BURKE, A|7.388889
BURKE, M|10.00833
BURKETT, J|5.333333
BURKHAUSER, R|14.58974
BURKS, S|5.726666
BURMEIST.E|15.3125
BURMEISTER, E|11.28704
BURNESS, H|13.8125
BURNHAM, T|28.61111
BURNS, L|13.88095
BURNS, M|19.5
BURNS, N|22.77778
BURNSIDE, C|32.2463
BURRIS, V|9.5
BURSTEIN, A|13.54167
BURTON, D|3.888889
BURTON, M|16.33333
BUSABA, W|12.05556
BUSCAGLIA, E|4.25
BUSCH, M|14.25
BUSCH, S|6.5
BUSCHENA, D|5.677083
BUSHEE, B|21.75
BUSHMAN, R|39.38334
BUSHNELL, J|24.49242
BUSSE, J|30.625
BUSSE, M|16.13333
BUTKIEWICZ, J|5.928571
BUTLER, J|5.173333
BUTLER, M|10.625
BUTLER, R|12.73696
BUTTEL, F|5.780953
BUTTIMER, R|6.875
BUTTON, K|14.5
BUTZ, D|24.33333
BUTZER, R|3.791667
CABALLERO, R|23.95578
CABRALES, A|8
CADENILLAS, A|8.2
CADWALLADER, M|39.5
CAGAN, P|6.9
CAGINALP, G|5.083333
CAI, H|9.194445
CAI, X|8.083332
CAI, Z|10.175
CAIN, G|12.4
CALDWELL, B|16.75
CALEM, P|8.75
CALLANDER, S|13.625
CALOMIRIS, C|20.07121
CALVET, L|8.917593
CALVO, G|47.89305
CAMERA, G|6.972222
CAMERON, A|24.19231
CAMERON, C|7.11111
CAMERON, D|7.583333
CAMERON, S|44
CAMERON, T|39.89091
CAMPA, J|27.8125
CAMPBELL, C|13.46875
CAMPBELL, D|7.720588
CAMPBELL, H|3.333333
CAMPBELL, J|53.51642
CAMPBELL, T|14.125
CAMPELLO, M|12.01667
CANCIAN, M|8.555555
CANER, M|10.66667
CANNING, D|15.1
CANTERBERY, E|7.166667
CANZONERI, M|18.11364
CAO, C|14.71428
CAO, X|11.25
CAO, Z|5.833333
CAPECI, J|14.5
CAPLAN, B|8.850877
CAPLIN, A|27.55556
CAPOZZA, D|13.46528
CAPPELLI, P|10.83333
CAPPS, O|9.208334
CAPRA, C|6.916667
CAPRIO, G|6.866667
CARBONE, J|3.591667
CARD, D|43.4983
CARLETON, W|5.9
CARLOS, A|7.361111
CARLSON, G|5.67
CARLSON, J|25.16667
CARLSON, M|9.05
CARLTON, D|34.04
CARNEY, J|29.5
CARNOY, M|15.66667
CAROW, K|10.33333
CARPENTER, C|11.94444
CARPENTER, J|13.9803
CARPENTER, R|11.28571
CARR, D|34.91667
CARR, J|22.91667
CARR, M|8.666665
CARR, P|19.76944
CARRELL, S|5.3
CARRILLO, J|5.75
CARRINGTON, W|15.63333
CARROLL, C|28.89333
CARROLL, G|19.83333
CARROLL, K|6.625
CARROLL, R|7.021645
CARROLL, T|13.66667
CARSON, R|21.78413
CARTER, C|7.360185
CARTER, H|5.25
CARTER, M|17.54048
CARTER, S|8
CARTTER, A|9
CASADESUS-MASANELL, R|6.095239
CASARI, M|8.25
CASCIO, E|9.25
CASE, A|42.36539
CASE, K|39.66667
CASELLA, A|10.40877
CASELLI, F|24.66667
CASETTI, E|9.060606
CASHELCORDO, P|8
CASKEY, J|12.4
CASLER, S|9.583333
CASON, T|14.78495
CASS, D|25.21212
CASSIDY, M|17.47778
CASTELLS, M|16.29167
CASTILLO, M|4.833333
CATSIAPIS, G|15.5
CAUCUTT, E|7.785714
CAUDILL, S|7.27193
CAULEY, J|7.633333
CAULEY, S|10.88889
CAVE, J|14.5
CAVES, R|55.99123
CAWLEY, J|22.15686
CEBENOYAN, A|9.5
CEBULA, R|11.9881
CECCHETTI, S|15.80376
CELLA, D|3.067347
CELLINI, S|6.111111
CERNEA, M|46.75
CERVERO, R|21.8125
CESARINI, D|9.483334
CESARIO, F|34.35714
CETIN, M|4.277778
CHACKO, G|13.06667
CHADHA, B|7.866666
CHAE, S|10.75
CHAKRABARTI, A|30.5
CHAKRABORTY, A|3.166667
CHAKRABORTY, S|16.06667
CHAKRAVARTY, S|15.62037
CHALFANT, J|12.51597
CHALMERS, J|9.638889
CHALOUPKA, F|28.966
CHAMARBAGWALA, R|8.5
CHAMBERLAIN, G|107.75
CHAMBERS, R|12.85688
CHAMI, R|7.966667
CHAMLEE-WRIGHT, E|7.277777
CHAMLEY, C|38.26471
CHAN, K|17.34167
CHAN, L|21.25758
CHAN, N|8.35
CHAN, S|14.55952
CHAN, T|7.25
CHAN-OLMSTED, S|4
CHANCE, D|8.5
CHANDLER, A|45.3
CHANDRA, A|7.547619
CHANEY, P|4.333333
CHANG, B|8
CHANG, C|8.674691
CHANG, E|5.375
CHANG, F|8.785714
CHANG, G|14.36786
CHANG, H|10.84722
CHANG, K|11.33333
CHANG, T|4.333333
CHANG, W|11.50926
CHANG, Y|11.462
CHAO, H|20.56806
CHAO, J|7.291667
CHAPMAN, D|11.8287
CHAPMAN, K|9.5
CHAPOTO, A|6.457143
CHAPPELL, H|24.20513
CHAPPLE, K|5
CHARI, A|3.2
CHARI, V|15.96
CHARLES, K|10.47436
CHARNES, A|16.29375
CHARNESS, G|19.51852
CHARNEY, A|13.76667
CHATTERJEE, K|11.70833
CHATTERJEE, S|8.962699
CHATTERJI, P|8.433333
